Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
175,3,Sep 13 2014,3:30 PM,Sat,Duke,41,,Kansas,3,RSN,,
176,3,Sep 13 2014,12:00 PM,Sat,East Carolina,28,@,(17) Virginia Tech,21,ESPN,,
177,3,Sep 13 2014,7:30 PM,Sat,Florida,36,,Kentucky,30,SEC Network,,
178,3,Sep 13 2014,7:00 PM,Sat,Florida Atlantic,50,,Tulsa,21,FCS,,
179,3,Sep 13 2014,12:00 PM,Sat,Georgia Tech,42,,Georgia Southern,38,RSN ESPN3.com,,
180,3,Sep 13 2014,11:59 PM,Sat,Hawaii,27,,Northern Iowa,24,Oceanic Pay-per-view,,
181,3,Sep 13 2014,3:00 PM,Sat,Indiana State,27,@,Ball State,20,ESPN3.com,,
182,3,Sep 13 2014,3:30 PM,Sat,Iowa State,20,@,Iowa,17,ESPN,,
183,3,Sep 13 2014,7:00 PM,Sat,(10) Louisiana State,31,,Louisiana-Monroe,0,ESPN U,,
184,3,Sep 13 2014,12:00 PM,Sat,Marshall,44,,Ohio,14,CBSSN,,
185,3,Sep 13 2014,3:30 PM,Sat,Miami (FL),41,,Arkansas State,20,ESPN U,,
186,3,Sep 13 2014,3:30 PM,Sat,Michigan,34,,Miami (OH),10,Big Ten Network,,
187,3,Sep 13 2014,7:00 PM,Sat,Middle Tennessee State,50,,Western Kentucky,47,MyTV30,,
188,3,Sep 13 2014,4:00 PM,Sat,(14) Mississippi,56,,Louisiana-Lafayette,15,SEC Network,,
189,3,Sep 13 2014,4:00 PM,Sat,Mississippi State,35,@,South Alabama,3,ESPNews,,
190,3,Sep 13 2014,12:00 PM,Sat,(20) Missouri,38,,Central Florida,10,SEC Network,,
191,3,Sep 13 2014,8:00 PM,Sat,Navy,35,@,Texas State,21,ESPNews,,
192,3,Sep 13 2014,10:30 PM,Sat,Nebraska,55,@,Fresno State,19,CBSSN,,
193,3,Sep 13 2014,3:30 PM,Sat,North Carolina State,49,@,South Florida,17,CBSSN,,
194,3,Sep 13 2014,7:00 PM,Sat,Northern Illinois,48,@,Nevada-Las Vegas,34,Mountain West Network,,
195,3,Sep 13 2014,7:30 PM,Sat,(11) Notre Dame,30,,Purdue,14,NBC,Lucas Oil Stadium - Indianapolis IN,
196,3,Sep 13 2014,12:00 PM,Sat,(22) Ohio State,66,,Kent State,0,ABC (ESPN 2 mirror),,
197,3,Sep 13 2014,8:00 PM,Sat,(4) Oklahoma,34,,Tennessee,10,ABC,,
198,3,Sep 13 2014,7:00 PM,Sat,Oklahoma State,43,,Texas-San Antonio,13,FSN,,
199,3,Sep 13 2014,6:00 PM,Sat,Old Dominion,17,,Eastern Michigan,3,Cox 110,,
200,3,Sep 13 2014,2:00 PM,Sat,(2) Oregon,48,,Wyoming,14,Pac-12 Network,,
201,3,Sep 13 2014,8:00 PM,Sat,Penn State,13,@,Rutgers,10,Big Ten Network,,
202,3,Sep 13 2014,12:00 PM,Sat,Pittsburgh,42,@,Florida International,25,FS1,,
203,3,Sep 13 2014,3:30 PM,Sat,(24) South Carolina,38,,(6) Georgia,35,CBS,,
204,3,Sep 13 2014,5:00 PM,Sat,(15) Stanford,35,,Army,0,Pac-12 Network,,
205,3,Sep 13 2014,12:00 PM,Sat,Syracuse,40,@,Central Michigan,3,ESPNews,,
206,3,Sep 13 2014,9:00 PM,Sat,(7) Texas A&M,38,,Rice,10,ESPN 2,,
207,3,Sep 13 2014,4:00 PM,Sat,Texas Christian,30,,Minnesota,7,FS1,,
208,3,Sep 13 2014,8:00 PM,Sat,Texas-El Paso,42,,New Mexico State,24,Sinclair,,
209,3,Sep 13 2014,8:00 PM,Sat,Tulane,35,,Southeastern Louisiana,20,ESPN3.com,,
210,3,Sep 13 2014,8:00 PM,Sat,(12) UCLA,20,,Texas,17,FOX,AT&T Stadium - Arlington TX,
211,3,Sep 13 2014,7:00 PM,Sat,Utah State,36,,Wake Forest,24,CBSSN,,
212,3,Sep 13 2014,12:00 PM,Sat,Vanderbilt,34,,Massachusetts,31,FSN,,
213,3,Sep 13 2014,12:30 PM,Sat,Virginia,23,,(21) Louisville,21,ACC Network ESPN3.com,,
214,3,Sep 13 2014,4:00 PM,Sat,Washington,44,,Illinois,19,FOX,,
215,3,Sep 13 2014,8:00 PM,Sat,Washington State,59,,Portland State,21,Pac-12 Network,,
216,3,Sep 13 2014,12:00 PM,Sat,West Virginia,40,@,Maryland,37,Big Ten Network,,
217,3,Sep 13 2014,5:00 PM,Sat,Western Michigan,45,@,Idaho,33,ESPN3.com,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
218,4,Sep 18 2014,7:30 PM,Thu,(5) Auburn,20,@,(20) Kansas State,14,ESPN,,
219,4,Sep 19 2014,8:00 PM,Fri,South Florida,17,,Connecticut,14,ESPN,,
220,4,Sep 20 2014,3:30 PM,Sat,(3) Alabama,42,,Florida,21,CBS,,
221,4,Sep 20 2014,10:00 PM,Sat,Arizona,49,,California,45,Pac-12 Network,,
222,4,Sep 20 2014,7:00 PM,Sat,Arkansas,52,,Northern Illinois,14,ESPN U,,
