Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
298,5,Oct 1 2011,,Sat,New Mexico State,12:00 AM,@,New Mexico,28,
299,5,Oct 1 2011,,Sat,North Carolina,12:00 AM,@,East Carolina,20,
300,5,Oct 1 2011,,Sat,Notre Dame,12:00 AM,@,Purdue,10,
301,5,Oct 1 2011,,Sat,Ohio,12:00 AM,,Kent State,10,
302,5,Oct 1 2011,,Sat,(2) Oklahoma,12:00 AM,,Ball State,6,
303,5,Oct 1 2011,,Sat,Penn State,12:00 AM,@,Indiana,10,
304,5,Oct 1 2011,,Sat,Rutgers,12:00 AM,@,Syracuse,16,
305,5,Oct 1 2011,,Sat,San Jose State,12:00 AM,@,Colorado State,31,
306,5,Oct 1 2011,,Sat,Southern California,12:00 AM,,Arizona,41,
307,5,Oct 1 2011,,Sat,Southern Methodist,12:00 AM,@,(20) Texas Christian,33,
308,5,Oct 1 2011,,Sat,Southern Mississippi,12:00 AM,,Rice,24,
309,5,Oct 1 2011,,Sat,(6) Stanford,12:00 AM,,UCLA,19,
310,5,Oct 1 2011,,Sat,Tennessee,12:00 AM,,Buffalo,10,
311,5,Oct 1 2011,,Sat,(17) Texas,12:00 AM,@,Iowa State,14,
312,5,Oct 1 2011,,Sat,Texas Tech,12:00 AM,@,Kansas,34,
313,5,Oct 1 2011,,Sat,Toledo,12:00 AM,@,Temple,13,
314,5,Oct 1 2011,,Sat,Troy,12:00 AM,,Alabama-Birmingham,23,
315,5,Oct 1 2011,,Sat,Tulsa,12:00 AM,,North Texas,24,
